                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8168,                 7.5641,                 3.7903,                0.00084,                0.23314,                 0.0018,                0.00046,                 3.8104,                 10.827,                 3.3478,             0.00055222,             0.00055222,             0.00055222
                      2,                 3.0242,                  4.238,                 2.5365,                0.52755,                0.07005,                0.01112,                0.00326,                 2.7947,                 8.8465,                  2.074,               0.001053,               0.001053,               0.001053
                      3,                 2.7616,                 2.9874,                 2.0691,                0.69196,                0.14439,                0.13787,                0.03968,                 2.6958,                 2.6182,                 1.9276,              0.0014989,              0.0014989,              0.0014989
                      4,                 2.6028,                 2.4373,                  1.943,                0.26346,                0.17513,                0.17885,                0.06045,                 2.3444,                 2.5813,                  1.686,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.5527,                 2.1574,                 1.8504,                 0.7583,                0.17834,                0.19889,                0.06674,                 2.3514,                  2.152,                 1.6719,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.4952,                 2.0323,                 1.8119,                0.21416,                0.22288,                0.18318,                0.05994,                  2.391,                 2.3194,                 1.6475,              0.0012544,              0.0012544,              0.0012544
                      7,                  2.424,                 1.9067,                 1.7777,                 0.3372,                 0.3511,                0.28205,                0.09417,                 2.2476,                 1.8102,                 1.6172,              0.0011719,              0.0011719,              0.0011719
                      8,                 2.3653,                 1.7771,                 1.7389,                0.29351,                0.36093,                 0.3047,                0.11455,                 2.1837,                 1.6732,                 1.5722,              0.0010894,              0.0010894,              0.0010894
                      9,                 2.3363,                 1.7748,                 1.7342,                0.39271,                0.29945,                0.30122,                0.11177,                 2.2292,                 1.7223,                 1.6076,              0.0010069,              0.0010069,              0.0010069
                     10,                 2.2918,                 1.6733,                  1.677,                0.37352,                 0.4508,                0.41076,                0.15434,                 2.1536,                 1.5864,                 1.5614,             0.00092435,             0.00092435,             0.00092435
                     11,                 2.2177,                 1.5215,                 1.6442,                0.56458,                 0.4556,                0.46592,                0.19572,                 2.1883,                 1.8197,                 1.5737,             0.00084184,             0.00084184,             0.00084184
                     12,                 2.1765,                 1.4922,                 1.6308,                0.39352,                  0.426,                0.39032,                0.16705,                   2.09,                 1.4635,                 1.5188,             0.00075932,             0.00075932,             0.00075932
                     13,                 2.1482,                 1.4544,                  1.593,                0.58005,                0.54018,                0.52608,                0.23711,                 2.1002,                 1.4087,                  1.513,              0.0006768,              0.0006768,              0.0006768
                     14,                 2.1098,                 1.3812,                 1.5683,                0.50831,                0.57008,                0.50605,                0.24874,                 2.1071,                 1.4184,                 1.5234,             0.00059429,             0.00059429,             0.00059429
                     15,                 2.1125,                 1.3962,                 1.5756,                0.56672,                0.61409,                0.61122,                0.28178,                 2.0627,                 1.4016,                 1.4944,             0.00051177,             0.00051177,             0.00051177
                     16,                 2.0877,                 1.3558,                 1.5605,                0.59409,                0.60826,                0.62582,                0.28722,                 2.0354,                 1.3439,                 1.4878,             0.00042925,             0.00042925,             0.00042925
                     17,                 2.0438,                 1.3412,                 1.5419,                0.57776,                0.64995,                0.63283,                0.29854,                 2.0143,                 1.3204,                 1.4618,             0.00034674,             0.00034674,             0.00034674
                     18,                   2.04,                 1.3216,                 1.5288,                0.55486,                0.67218,                0.57661,                0.28587,                 1.9818,                  1.321,                 1.4552,             0.00026422,             0.00026422,             0.00026422
                     19,                 2.0126,                 1.2973,                 1.5115,                 0.5922,                 0.6917,                0.67401,                0.32298,                 1.9682,                 1.2982,                 1.4388,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.9993,                 1.2712,                 1.4959,                 0.6585,                0.67126,                0.70613,                 0.3711,                 1.9692,                 1.2711,                 1.4337,             9.9187e-05,             9.9187e-05,             9.9187e-05
